"year" "doy" "hour" "month" "SW"
2010 32 7 2 -9999
2010 32 8 2 -9999
2010 32 9 2 -9999
2010 32 10 2 -9999
2010 32 11 2 -9999
2010 32 12 2 -9999
2010 32 13 2 -9999
2010 32 14 2 -9999
2010 32 15 2 -9999
2010 32 16 2 -9999
2010 32 17 2 -9999
2010 32 18 2 -9999
2010 32 19 2 -9999
2010 32 20 2 -9999
2010 32 21 2 -9999
2010 32 22 2 -9999
2010 32 23 2 -9999
2010 33 0 2 -9999
2010 33 1 2 -9999
2010 33 2 2 -9999
2010 33 3 2 -9999
2010 33 4 2 -9999
2010 33 5 2 -9999
2010 33 6 2 -9999
2010 33 7 2 -9999
2010 33 8 2 -9999
2010 33 9 2 -9999
2010 33 10 2 -9999
2010 33 11 2 -9999
2010 33 12 2 -9999
2010 33 13 2 -9999
2010 33 14 2 -9999
2010 33 15 2 -9999
2010 33 16 2 -9999
2010 33 17 2 -9999
2010 33 18 2 -9999
2010 33 19 2 -9999
2010 33 20 2 -9999
2010 33 21 2 -9999
2010 33 22 2 -9999
2010 33 23 2 -9999
2010 34 0 2 -9999
2010 34 1 2 -9999
2010 34 2 2 -9999
2010 34 3 2 -9999
2010 34 4 2 -9999
2010 34 5 2 -9999
2010 34 6 2 -9999
2010 34 7 2 -9999
2010 34 8 2 -9999
2010 34 9 2 -9999
2010 34 10 2 -9999
2010 34 11 2 -9999
2010 34 12 2 -9999
2010 34 13 2 -9999
2010 34 14 2 -9999
2010 34 15 2 -9999
2010 34 16 2 -9999
2010 34 17 2 -9999
2010 34 18 2 -9999
2010 34 19 2 -9999
2010 34 20 2 -9999
2010 34 21 2 -9999
2010 34 22 2 -9999
2010 34 23 2 -9999
2010 35 0 2 -9999
2010 35 1 2 -9999
2010 35 2 2 -9999
2010 35 3 2 -9999
2010 35 4 2 -9999
2010 35 5 2 -9999
2010 35 6 2 -9999
2010 35 7 2 -9999
2010 35 8 2 -9999
2010 35 9 2 -9999
2010 35 10 2 -9999
2010 35 11 2 -9999
2010 35 12 2 -9999
2010 35 13 2 -9999
2010 35 14 2 -9999
2010 35 15 2 -9999
2010 35 16 2 -9999
2010 35 17 2 -9999
2010 35 18 2 -9999
2010 35 19 2 -9999
2010 35 20 2 -9999
2010 35 21 2 -9999
2010 35 22 2 -9999
2010 35 23 2 -9999
2010 36 0 2 -9999
2010 36 1 2 -9999
2010 36 2 2 -9999
2010 36 3 2 -9999
2010 36 4 2 -9999
2010 36 5 2 -9999
2010 36 6 2 -9999
2010 36 7 2 -9999
2010 36 8 2 -9999
2010 36 9 2 -9999
2010 36 10 2 -9999
2010 36 11 2 -9999
2010 36 12 2 -9999
2010 36 13 2 -9999
2010 36 14 2 -9999
2010 36 15 2 -9999
2010 36 16 2 -9999
2010 36 17 2 -9999
2010 36 18 2 -9999
2010 36 19 2 -9999
2010 36 20 2 -9999
2010 36 21 2 -9999
2010 36 22 2 -9999
2010 36 23 2 -9999
2010 37 0 2 -9999
2010 37 1 2 -9999
2010 37 2 2 -9999
2010 37 3 2 -9999
2010 37 4 2 -9999
2010 37 5 2 -9999
2010 37 6 2 -9999
2010 37 7 2 -9999
2010 37 8 2 -9999
2010 37 9 2 -9999
2010 37 10 2 -9999
2010 37 11 2 -9999
2010 37 12 2 -9999
2010 37 13 2 -9999
2010 37 14 2 -9999
2010 37 15 2 -9999
2010 37 16 2 -9999
2010 37 17 2 -9999
2010 37 18 2 -9999
2010 37 19 2 -9999
2010 37 20 2 -9999
2010 37 21 2 -9999
2010 37 22 2 -9999
2010 37 23 2 -9999
2010 38 0 2 -9999
2010 38 1 2 -9999
2010 38 2 2 -9999
2010 38 3 2 -9999
2010 38 4 2 -9999
2010 38 5 2 -9999
2010 38 6 2 -9999
2010 38 7 2 -9999
2010 38 8 2 -9999
2010 38 9 2 -9999
2010 38 10 2 -9999
2010 38 11 2 -9999
2010 38 12 2 -9999
2010 38 13 2 -9999
2010 38 14 2 -9999
2010 38 15 2 -9999
2010 38 16 2 -9999
2010 38 17 2 -9999
2010 38 18 2 -9999
2010 38 19 2 -9999
2010 38 20 2 -9999
2010 38 21 2 -9999
2010 38 22 2 -9999
2010 38 23 2 -9999
2010 39 0 2 -9999
2010 39 1 2 -9999
2010 39 2 2 -9999
2010 39 3 2 -9999
2010 39 4 2 -9999
2010 39 5 2 -9999
2010 39 6 2 -9999
2010 39 7 2 -9999
2010 39 8 2 -9999
2010 39 9 2 -9999
2010 39 10 2 -9999
2010 39 11 2 -9999
2010 39 12 2 -9999
2010 39 13 2 -9999
